"","char","freq"
"35522","教授",3816
"21128","研究",3763
"24430","面試",2397
"37358","時間",2294
"16883","經驗",2049
"8053","領域",1969
"37324","美國",1724
"33418","成績",1679
"20454","興趣",1597
"27480","推薦信",1582
"16591","英文",1514
"16477","過程",1402
"23911","學長",1057
"29270","考試",1023
"25473","朋友",941
"11695","背景",926
"34171","獎學金",921
"23490","實驗室",909
"10539","能力",833
"36755","同學",806
"37386","一年",784
"33899","文件",750
"26441","研究所",743
"27752","經歷",708
"29822","碩士",686
"24673","專題",681
"35835","老闆",656
"36616","選校",648
"11403","努力",624
"23960","目標",612
"29350","台大",555
"36224","題目",543
"36206","代辦",521
"16159","聯絡",519
"36445","推薦",490
"30906","排名",487
"13415","實習",483
"31594","論文",474
"18590","修課",467
"20572","公司",455
"30883","放棄",451
"21092","想法",446
"35152","德國",443
"27211","國際",440
"14500","系上",434
"35836","遇到",432
"21903","博士",431
"36244","指導教授",430
"29388","數學",429
"18534","助理",428
